a.from_taz,a.to_taz,distance_car,sample_size_car,mean_car_tt,std_car_tt,distance_pt,sample_size_pt,mean_pt_tt,std_pt_tt,prc_pt,w,,
274,167,12.9,378,25,32,13,98,58,22,21,0.006389236,,
275,167,12.2,359,25,32,12.3,80,53,15,18,0.006068084,,
328,167,16.1,217,26,31,16.1,54,58,24,20,0.003667895,,
355,167,7.1,458,26,35,7.1,100,58,17,18,0.007741456,,
356,167,7.9,321,23,39,8,75,54,19,19,0.00542578,,
365,167,9.5,404,27,44,9.5,102,70,20,20,0.006828708,,
367,167,8.8,612,24,42,8.8,157,63,22,20,0.010344478,,
372,167,7.3,643,22,36,7.5,166,54,20,21,0.010868463,,
373,167,7.4,312,22,45,7.5,66,55,18,17,0.005273655,,
374,167,6.5,389,21,38,6.6,80,46,13,17,0.006575166,,
379,167,5.4,414,19,42,5.5,89,45,13,18,0.006997735,,
384,167,5.7,258,18,44,5.7,78,56,23,23,0.004360907,,
385,167,4.8,541,16,44,4.8,125,42,19,19,0.009144383,,
386,167,4.1,434,18,44,4,110,47,15,20,0.00733579,,
387,167,4.9,443,17,41,5,92,38,11,17,0.007487915,,
389,167,5.7,228,20,40,5.7,52,49,20,19,0.003853825,,
391,167,6,275,16,38,6.1,82,44,23,23,0.004648254,,
392,167,6.3,183,19,37,6.3,50,49,20,21,0.003093202,,
400,167,7.5,421,22,36,7.6,112,57,23,21,0.007116054,,
410,167,8.2,208,19,42,8.3,74,53,23,26,0.00351577,,
414,167,8.6,211,19,42,8.6,61,56,23,22,0.003566478,,
415,167,9.1,256,17,35,9.2,86,48,27,25,0.004327102,,
421,167,9.6,266,22,32,9.6,57,48,19,18,0.004496129,,
422,167,9.6,332,17,35,9.6,104,45,22,24,0.00561171,,
423,167,8.9,256,18,33,8.9,68,39,13,21,0.004327102,,
424,167,9,266,20,40,9.1,78,47,17,23,0.004496129,,
434,167,9.6,238,18,33,9.5,63,46,30,21,0.004022853,,
439,167,11.2,234,23,39,11.1,58,57,18,20,0.003955242,,
627,167,8.3,612,30,33,8.4,120,63,16,16,0.010344478,,
628,167,8.2,399,25,40,8.2,86,56,16,18,0.006744194,,
631,167,8,250,24,38,8,67,59,19,21,0.004225685,,
636,167,8.2,266,21,43,8.2,54,56,21,17,0.004496129,,
637,167,8.7,396,22,36,8.7,69,49,16,15,0.006693486,,
639,167,9.5,195,21,38,9.6,57,52,19,23,0.003296035,,
643,167,9.4,259,22,41,9.5,61,53,19,19,0.00437781,,
652,167,11.6,364,24,42,11.5,104,67,22,22,0.006152598,,
655,167,19.7,554,38,29,19.8,129,76,14,19,0.009364119,,
656,167,20.9,332,45,27,21,82,93,17,20,0.00561171,,
664,167,20,481,31,32,20,113,65,17,19,0.008130219,,
667,167,19,308,25,28,19.1,70,55,25,19,0.005206044,,
668,167,19,296,27,30,19,60,59,22,17,0.005003212,,
669,167,18.5,325,26,27,18.6,77,54,20,19,0.005493391,,
673,167,18,328,27,26,18,68,50,14,17,0.005544099,,
674,167,18.4,417,27,30,18.6,85,58,17,17,0.007048443,,
677,167,17.5,239,25,28,17.6,68,61,23,22,0.004039755,,
680,167,15.2,206,27,33,15.2,63,68,22,23,0.003481965,,
681,167,15.4,188,25,36,15.5,58,68,26,24,0.003177715,,
682,167,14.6,273,24,33,14.4,72,58,17,21,0.004614448,,
683,167,14.7,330,25,40,14.7,95,69,23,22,0.005577905,,
685,167,15.1,358,23,35,15.2,78,53,23,18,0.006051182,,
688,167,13.7,208,19,37,13.7,62,55,18,23,0.00351577,,
689,167,14,419,20,40,14.1,114,56,29,21,0.007082249,,
690,167,13.7,239,21,38,13.7,57,54,22,19,0.004039755,,
692,167,12.2,514,22,36,12.3,136,59,22,21,0.008688009,,
695,167,16.1,340,28,32,16.3,90,69,23,21,0.005746932,,
698,167,18.4,379,26,31,18.5,107,64,27,22,0.006406139,,
702,167,16.2,340,30,30,16.3,79,65,23,19,0.005746932,,
703,167,16.4,907,29,34,16.4,191,66,21,17,0.015330787,,
705,167,15,359,22,36,15.1,96,55,24,21,0.006068084,,
706,167,14.4,205,19,37,14.4,65,48,23,24,0.003465062,,
707,167,13.5,477,19,37,13.6,146,54,26,23,0.008062608,,
710,167,16.2,238,24,42,16.3,84,69,20,26,0.004022853,,
720,167,17.5,261,30,33,17.6,68,73,19,21,0.004411616,,
844,167,14.4,383,34,26,14.5,98,72,19,20,0.00647375,,
845,167,13.1,460,28,32,13.2,125,62,18,21,0.007775261,,
870,167,15.5,230,31,23,15.6,61,67,25,21,0.003887631,,
872,167,13.6,550,32,28,13.6,147,70,21,21,0.009296508,,
873,167,14.7,277,38,26,14.9,62,78,18,18,0.004682059,,
965,167,11.5,401,25,32,11.7,95,55,24,19,0.006777999,,
976,167,10,313,33,39,10,98,88,18,24,0.005290558,,
985,167,19.1,275,48,33,19.1,63,107,18,19,0.004648254,,
986,167,19,237,52,33,19,57,109,19,19,0.00400595,,
1014,167,3.8,317,13,46,3.6,85,34,18,21,0.005358169,,
1038,167,9.6,262,16,38,9.6,66,44,27,20,0.004428518,,
1039,167,10.3,208,17,47,10.4,57,49,24,22,0.00351577,,
1040,167,9.7,547,14,43,9.7,141,39,23,20,0.0092458,,
2289,167,31.9,264,37,16,32,80,66,20,23,0.004462324,,
2290,167,30.8,252,39,28,31.1,59,86,22,19,0.004259491,,
,,,59162,,,,,,,,1,,
,,,,,,,,,,,,,
,,,,,,,,,,,weighted average,,20.52070586
,,,,,,,,,,,min,,15
,,,,,,,,,,,max,,28
